order_id,product_id,product_name,kategori,quantity,total_harga,tanggal_order,kota,channel,status,customer_email,harga_satuan
ORD-10122,P009,Kahf Edt Revered Oud,Fragrance,3,447000,2024-07-06 00:00:00,Denpasar,Website,Cancelled,customer3@email.com,149000
ORD-10107,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-07-12 09:31:00,Solo,Marketplace,Pending,customer45@email.com,42000
ORD-10128,P001,Kahf Oil & Acne Care Facial Wash,Face Care,1,32000,2024-05-19 16:47:00,Jakarta,Website,Pending,customer9@email.com,32000
ORD-10001,P008,Kahf Hair Tonic,Hair Care,5,210000,2024-05-24 20:39:00,Bandung,Marketplace,Completed,customer13@email.com,42000
ORD-10053,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-07-08 00:00:00,Malang,Marketplace,Cancelled,customer22@email.com,34000
ORD-10022,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-06-07 00:00:00,Makassar,Marketplace,Pending,customer6@email.com,25000
ORD-10019,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-07-09 00:00:00,Jakarta,Mobile_App,Cancelled,,38000
ORD-10030,P008,Kahf Hair Tonic,Hair Care,1,42000,2024-05-10 00:00:00,Medan,Mobile_App,Cancelled,customer24@email.com,42000
ORD-10038,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-05-15 00:00:00,Yogyakarta,Marketplace,Shipped,customer35@email.com,149000
ORD-10125,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-10-05 00:00:00,Bandung,Mobile_App,Cancelled,customer2@email.com,25000
ORD-10055,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-08-07 00:00:00,Malang,Mobile_App,Cancelled,customer12@email.com,65000
ORD-10012,P001,Kahf Oil & Acne Care Facial Wash,Face Care,3,96000,2024-07-01 00:00:00,Malang,Mobile_App,Cancelled,customer38@email.com,32000
ORD-10130,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-06-29 00:00:00,Medan,Mobile_App,Completed,customer27@email.com,65000
ORD-10048,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-07-12 04:12:00,Bandung,Website,Cancelled,customer33@email.com,34000
ORD-10069,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-05-28 13:47:00,Makassar,Website,Completed,customer50@email.com,34000
ORD-10031,P001,Kahf Oil & Acne Care Facial Wash,Face Care,5,160000,2024-05-29 00:00:00,Semarang,Marketplace,Cancelled,,32000
ORD-10097,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000,2024-06-22 00:00:00,Semarang,Website,Cancelled,customer28@email.com,34000
ORD-10116,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000,2024-06-23 00:00:00,Semarang,Marketplace,Shipped,customer18@email.com,34000
ORD-10015,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,1,65000,2024-05-30 17:41:00,Yogyakarta,Mobile_App,Cancelled,customer9@email.com,65000
ORD-10129,P009,Kahf Edt Revered Oud,Fragrance,1,149000,2024-06-24 00:00:00,Jakarta,Mobile_App,Cancelled,customer31@email.com,149000
ORD-10102,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-05-16 23:08:00,Medan,Website,Shipped,customer30@email.com,38000
ORD-10041,P010,Kahf Edt Humbling Forest,Fragrance,1,149000,2024-03-05 00:00:00,Medan,Website,Shipped,customer50@email.com,149000
ORD-10046,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-07-30 00:00:00,Medan,Mobile_App,Shipped,customer35@email.com,25000
ORD-10005,P006,Kahf Hair & Body Wash,Body Care,2,76000,2024-12-07 00:00:00,Malang,Mobile_App,Pending,,38000
ORD-10115,P006,Kahf Hair & Body Wash,Body Care,3,114000,2024-07-21 00:00:00,Denpasar,Website,Shipped,,38000
ORD-10018,P006,Kahf Hair & Body Wash,Body Care,2,76000,2024-07-21 00:00:00,Solo,Mobile_App,Completed,,38000
ORD-10091,P009,Kahf Edt Revered Oud,Fragrance,5,745000,2024-06-10 00:00:00,Malang,Website,Completed,customer20@email.com,149000
ORD-10120,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-06-06 00:00:00,Medan,Mobile_App,Shipped,customer11@email.com,149000
ORD-10074,P006,Kahf Hair & Body Wash,Body Care,2,76000,2024-01-06 00:00:00,Semarang,Marketplace,Completed,customer34@email.com,38000
ORD-10068,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-06-15 00:00:00,Semarang,Marketplace,Cancelled,customer31@email.com,149000
ORD-10079,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-10-05 00:00:00,Malang,Marketplace,Pending,customer47@email.com,38000
ORD-10037,P009,Kahf Edt Revered Oud,Fragrance,1,149000,2024-06-02 00:00:00,Malang,Mobile_App,Cancelled,customer36@email.com,149000
ORD-10059,P003,Kahf Hydro Balance Moisturizer,Face Care,5,225000,2024-07-03 09:33:00,Malang,Mobile_App,Completed,customer28@email.com,45000
ORD-10033,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-07-22 00:00:00,Medan,Marketplace,Shipped,customer47@email.com,42000
ORD-10080,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,5,170000,2024-06-16 00:00:00,Surabaya,Marketplace,Cancelled,customer34@email.com,34000
ORD-10013,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-05-21 00:00:00,Malang,Website,Shipped,customer13@email.com,65000
ORD-10126,P010,Kahf Edt Humbling Forest,Fragrance,1,149000,2024-06-10 00:00:00,Yogyakarta,Marketplace,Cancelled,customer45@email.com,149000
