customer_id,customer_email,customer_name,phone_number,join_date,kota,gender,segment
CUST-0001,customer1@email.com,Farid Saputra,083342331444,2023-10-04 01:01:00,Surabaya,P,Premium
CUST-0002,customer2@email.com,Jefri Saputra,0883140807,2023-07-08 00:00:00,Solo,L,Regular
CUST-0003,customer3@email.com,Omar Firmansyah,082445662585,2023-01-22 03:22:00,Semarang,L,Regular
CUST-0004,customer4@email.com,Yoga Fadillah,0820576383,2023-09-14 00:00:00,Yogyakarta,L,Premium
CUST-0005,customer5@email.com,Hendra Wijaya,0820709497,2023-04-04 00:00:00,Malang,P,New
CUST-0007,customer7@email.com,Reza Rahman,0884752529,2023-03-28 00:00:00,Jakarta,,Regular
CUST-0008,customer8@email.com,Kevin Nugroho,082351531223,2023-11-06 12:56:00,Solo,L,Premium
CUST-0009,customer9@email.com,Bagas Fadillah,0867503414,2023-09-30 11:14:00,Bandung,P,Regular
CUST-0011,customer11@email.com,Eko Rahman,0811540956,2023-11-19 00:00:00,Denpasar,,New
CUST-0012,customer12@email.com,Miftah Pratama,088385972235,2023-08-19 00:00:00,Denpasar,,New
CUST-0013,customer13@email.com,Ilham Maulana,084274958945,2023-08-09 00:00:00,Jakarta,P,Regular
CUST-0014,customer14@email.com,Farid Halim,0851273847,2023-07-04 00:00:00,Medan,L,Regular
CUST-0016,customer16@email.com,Taufan Hidayat,0836998038,2023-12-06 00:00:00,Malang,P,Vip
CUST-0017,customer17@email.com,Wisnu Maulana,085569956444,2022-12-16 00:00:00,Denpasar,L,Premium
CUST-0018,customer18@email.com,Andi Kusuma,,2023-09-01 00:00:00,Semarang,L,Premium
CUST-0019,customer19@email.com,Fikri Alamsyah,083030106617,2023-08-05 06:06:00,Surabaya,P,Vip
CUST-0020,customer20@email.com,Taufan Firmansyah,0897705310,2023-01-11 00:00:00,Jakarta,P,Vip
CUST-0021,customer21@email.com,Dedi Setiawan,628250519597,2023-07-10 00:00:00,Makassar,P,Regular
CUST-0022,customer22@email.com,Wisnu Fadillah,0882556484,2022-12-13 00:00:00,Medan,P,Regular
CUST-0023,customer23@email.com,Arif Hidayat,0832097220,2023-06-18 00:00:00,Malang,,Regular
CUST-0024,customer24@email.com,Galih Firmansyah,0884593961,2023-11-09 04:12:00,Makassar,L,Premium
CUST-0025,customer25@email.com,Fikar Wijaya,,2023-10-01 16:58:00,Denpasar,L,Premium
CUST-0026,customer26@email.com,Joko Wibowo,,2023-04-05 03:56:00,Yogyakarta,L,Premium
CUST-0027,customer27@email.com,Rian Hakim,0885863473,2023-08-30 00:00:00,Makassar,P,New
CUST-0028,customer28@email.com,Kevin Setiawan,088067372072,2023-07-28 00:00:00,Surabaya,P,Premium
CUST-0029,customer29@email.com,Hafiz Pratama,082139027119,2023-02-06 00:00:00,Medan,L,Premium
CUST-0030,customer30@email.com,Wisnu Fadillah,0897775215,2023-02-09 00:00:00,Denpasar,P,Regular
CUST-0031,customer31@email.com,Hadi Rahman,083376077463,2023-04-24 00:00:00,Yogyakarta,P,Vip
CUST-0032,customer32@email.com,Yudi Rahman,081218179599,2023-10-26 08:02:00,Jakarta,,Premium
CUST-0033,customer33@email.com,Dimas Wibowo,628559225330,2023-09-19 00:00:00,Surabaya,P,Premium
CUST-0034,customer34@email.com,Fikar Wijaya,628259014493,2023-07-14 00:00:00,Jakarta,L,Regular
CUST-0035,customer35@email.com,Nizar Hidayat,0857469942,2023-09-18 19:47:00,Bandung,,Premium
CUST-0036,customer36@email.com,,0854585178,2023-07-04 00:00:00,Makassar,,New
CUST-0037,customer37@email.com,Dedi Nugroho,0839854548,2023-03-18 11:19:00,Medan,L,New
CUST-0038,customer38@email.com,Tono Nugroho,0847463522,2023-03-06 00:00:00,Malang,,Premium
CUST-0039,customer39@email.com,Miftah Saputra,0833966966,2023-09-29 00:00:00,Jakarta,L,Regular
CUST-0040,customer40@email.com,Nizar Utomo,0825521714,2023-06-21 00:00:00,Medan,L,New
CUST-0041,customer41@email.com,Taufan Saputra,0836445607,2023-06-10 02:42:00,Semarang,L,New
CUST-0042,customer42@email.com,Farid Gunawan,0853779528,2023-06-30 00:00:00,Denpasar,P,Regular
CUST-0043,customer43@email.com,Reza Wibowo,085296710795,2023-05-01 00:00:00,Malang,L,New
CUST-0044,customer44@email.com,Kevin Ramadhan,0878608612,2023-08-05 00:00:00,Surabaya,L,New
CUST-0045,customer45@email.com,Kurnia Utomo,0841523529,2023-11-15 00:00:00,Medan,P,Regular
CUST-0046,customer46@email.com,Rian Setiawan,0819774839,2023-07-27 20:36:00,Medan,P,Regular
CUST-0047,customer47@email.com,Bayu Nugroho,0810744212,2023-01-29 07:11:00,Denpasar,L,Premium
CUST-0048,customer48@email.com,Bagas Pratama,0899600766,2023-03-09 00:00:00,Yogyakarta,,Regular
CUST-0049,customer49@email.com,Kurnia Maulana,0869849511,2023-02-25 14:16:00,Medan,L,Premium
CUST-0050,customer50@email.com,Bayu Setiawan,,2023-05-01 00:00:00,Makassar,L,Premium
CUST-0006,customer6@email.com,Rafi Wibowo,083783290795,2023-10-13 00:00:00,Bandung,P,Regular
CUST-0015,customer15@email.com,Bayu Kusuma,628235034324,2023-02-09 17:10:00,Malang,,Premium
CUST-0010,customer10@email.com,Fajar Pratama,088217611860,2023-07-10 00:00:00,Medan,L,Regular
CUST-0099,customer99@email,Rudi Ananta,0812345678,2024-02-15 00:00:00,Jakarta,L,Regular
