order_id,product_id,product_name,kategori,quantity,total_harga,tanggal_order,kota,channel,status,customer_email
ORD-10122,P009,Kahf EDT Revered Oud,Fragrance,3,447000.0,2024-07-06 00:00:00,Denpasar,WEBSITE,Cancelled,customer3@email.com
ORD-10107,P008,Kahf Hair Tonic,Hair Care,3,126000.0,2024-07-12 09:31:00,Solo,MARKETPLACE,Pending,customer45@email.com
ORD-10128,P001,Kahf Oil & Acne Care Facial Wash,Face Care,1,32000.0,2024-05-19 16:47:00,Jakarta,WEBSITE,Pending,customer9@email.com
ORD-10001,P008,Kahf Hair Tonic,Hair Care,5,210000.0,2024-05-24 20:39:00,Bandung,MARKETPLACE,Completed,customer13@email.com
ORD-10053,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000.0,2024-07-08 00:00:00,Malang,MARKETPLACE,Cancelled,customer22@email.com
ORD-10022,P007,Kahf Deodorant Roll On,Body Care,5,125000.0,2024-06-07 00:00:00,Makassar,MARKETPLACE,Pending,customer6@email.com
ORD-10019,P006,Kahf Hair & Body Wash,Body Care,1,38000.0,2024-07-09 00:00:00,Jakarta,MOBILE_APP,Cancelled,
ORD-10030,P008,Kahf Hair Tonic,Hair Care,1,42000.0,2024-05-10 00:00:00,Medan,MOBILE_APP,Cancelled,customer24@email.com
ORD-10038,P009,Kahf EDT Revered Oud,Fragrance,2,298000.0,2024-05-15 00:00:00,Yogyakarta,MARKETPLACE,Shipped,customer35@email.com
ORD-10125,P007,Kahf Deodorant Roll On,Body Care,5,125000.0,2024-10-05 00:00:00,Bandung,MOBILE_APP,Cancelled,customer2@email.com
ORD-10055,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,3,195000.0,2024-08-07 00:00:00,Malang,MOBILE_APP,Cancelled,customer12@email.com
ORD-10012,P001,Kahf Oil & Acne Care Facial Wash,Face Care,3,96000.0,2024-07-01 00:00:00,Malang,MOBILE_APP,Cancelled,customer38@email.com
ORD-10130,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,2,130000.0,2024-06-29 00:00:00,Medan,MOBILE_APP,Completed,customer27@email.com
ORD-10048,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,125000.0,2024-07-12 04:12:00,Bandung,WEBSITE,Cancelled,customer33@email.com
ORD-10069,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000.0,2024-05-28 13:47:00,Makassar,WEBSITE,Completed,customer50@email.com
ORD-10031,P001,Kahf Oil & Acne Care Facial Wash,Face Care,5,160000.0,2024-05-29 00:00:00,Semarang,MARKETPLACE,Cancelled,
ORD-10097,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,125000.0,2024-06-22 00:00:00,Semarang,WEBSITE,Cancelled,customer28@email.com
ORD-10116,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000.0,2024-06-23 00:00:00,Semarang,MARKETPLACE,Shipped,customer18@email.com
ORD-10015,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,1,65000.0,2024-05-30 17:41:00,Yogyakarta,MOBILE_APP,Cancelled,customer9@email.com
ORD-10129,P009,Kahf EDT Revered Oud,Fragrance,1,125000.0,2024-06-24 00:00:00,Jakarta,MOBILE_APP,Cancelled,customer31@email.com
ORD-10102,P006,Kahf Hair & Body Wash,Body Care,1,38000.0,2024-05-16 23:08:00,Medan,WEBSITE,Shipped,customer30@email.com
ORD-10041,P010,Kahf EDT Humbling Forest,Fragrance,1,149000.0,2024-03-05 00:00:00,Medan,WEBSITE,Shipped,customer50@email.com
ORD-10046,P007,Kahf Deodorant Roll On,Body Care,1,25000.0,2024-07-30 00:00:00,Medan,MOBILE_APP,Shipped,customer35@email.com
ORD-10005,P006,Kahf Hair & Body Wash,Body Care,2,76000.0,2024-12-07 00:00:00,Malang,MOBILE_APP,Pending,
ORD-10115,P006,Kahf Hair & Body Wash,Body Care,3,114000.0,2024-07-21 00:00:00,Denpasar,WEBSITE,Shipped,
ORD-10018,P006,Kahf Hair & Body Wash,Body Care,2,76000.0,2024-07-21 00:00:00,Solo,MOBILE_APP,Completed,
ORD-10091,P009,Kahf EDT Revered Oud,Fragrance,5,745000.0,2024-06-10 00:00:00,Malang,WEBSITE,Completed,customer20@email.com
ORD-10120,P009,Kahf EDT Revered Oud,Fragrance,2,298000.0,2024-06-06 00:00:00,Medan,MOBILE_APP,Shipped,customer11@email.com
ORD-10074,P006,Kahf Hair & Body Wash,Body Care,2,76000.0,2024-01-06 00:00:00,Semarang,MARKETPLACE,Completed,customer34@email.com
ORD-10068,P009,Kahf EDT Revered Oud,Fragrance,2,298000.0,2024-06-15 00:00:00,Semarang,MARKETPLACE,Cancelled,customer31@email.com
ORD-10079,P006,Kahf Hair & Body Wash,Body Care,1,38000.0,2024-10-05 00:00:00,Malang,MARKETPLACE,Pending,customer47@email.com
ORD-10037,P009,Kahf EDT Revered Oud,Fragrance,1,149000.0,2024-06-02 00:00:00,Malang,MOBILE_APP,Cancelled,customer36@email.com
ORD-10059,P003,Kahf Hydro Balance Moisturizer,Face Care,5,225000.0,2024-07-03 09:33:00,Malang,MOBILE_APP,Completed,customer28@email.com
ORD-10033,P008,Kahf Hair Tonic,Hair Care,3,126000.0,2024-07-22 00:00:00,Medan,MARKETPLACE,Shipped,customer47@email.com
ORD-10080,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,5,170000.0,2024-06-16 00:00:00,Surabaya,MARKETPLACE,Cancelled,customer34@email.com
ORD-10013,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,2,130000.0,2024-05-21 00:00:00,Malang,WEBSITE,Shipped,customer13@email.com
ORD-10126,P010,Kahf EDT Humbling Forest,Fragrance,1,125000.0,2024-06-10 00:00:00,Yogyakarta,MARKETPLACE,Cancelled,customer45@email.com
ORD-10106,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,2,130000.0,2024-05-05 00:00:00,Malang,WEBSITE,Shipped,customer42@email.com
ORD-10057,P009,Kahf EDT Revered Oud,Fragrance,1,149000.0,2024-05-13 00:00:00,Makassar,MOBILE_APP,Pending,customer1@email.com
ORD-10039,P009,Kahf EDT Revered Oud,Fragrance,4,596000.0,2024-02-07 00:00:00,Bandung,WEBSITE,Pending,customer8@email.com
ORD-10026,P008,Kahf Hair Tonic,Hair Care,3,126000.0,2024-05-09 00:00:00,Bandung,MARKETPLACE,Pending,customer46@email.com
