customer_id,customer_email,customer_name,phone_number,join_date,kota,gender,segment
CUST-0001,customer1@email.com,Farid Saputra,083342331444,2023-10-04 01:01:00,Surabaya,P,premium
CUST-0002,customer2@email.com,Jefri Saputra,0883140807,2023-07-08,solo,Laki-laki,Regular
CUST-0003,customer3@email.com,Omar Firmansyah,082445662585,2023-01-22 03:22:00,semarang,Laki-laki,Regular
CUST-0004,customer4@email.com,YOGA FADILLAH,0820576383,"Sep 14, 2023",YOGYAKARTA,M,Premium
CUST-0005,customer5@email.com,Hendra Wijaya,0820709497,04/04/2023,malang,Perempuan,New
CUST-0006,customer6@email.com,Rafi Wibowo,083783290795,2023-10-13,Denpasar,P,regular
CUST-0007,customer7@email.com,Reza Rahman,0884752529,"Mar 28, 2023",JAKARTA,,Regular
CUST-0008,customer8@email.com,Kevin Nugroho,082351531223,2023-11-06 12:56:00,Solo,Laki-laki,Premium
CUST-0009,customer9@email.com,Bagas Fadillah,0867503414,2023-09-30 11:14:00,bandung,Perempuan,Regular
CUST-0010,customer10@email.com,fajar pratama,088217611860,07/10/2023,malang,M,regular
CUST-0011,customer11@email.com,Eko Rahman,0811540956,19/11/2023,DENPASAR,,New
CUST-0012,customer12@email.com,Miftah Pratama,088385972235,2023-08-19,Denpasar,,New
CUST-0013,customer13@email.com,Ilham Maulana,084274958945,08-09-2023,jakarta,Perempuan,Regular
CUST-0014,customer14@email.com,Farid Halim,0851273847,07/04/2023,medan,L,Regular
CUST-0015,customer15@email.com,Bayu Kusuma,+628235034324,2023-02-09 17:10:00,makassar,,premium
CUST-0016,customer16@email.com,Taufan Hidayat,0836998038,"Dec 06, 2023",MALANG,F,VIP
CUST-0017,customer17@email.com,Wisnu Maulana,085569956444,16-12-2022,Denpasar,M,Premium
CUST-0018,customer18@email.com,Andi Kusuma,,09/01/2023,Semarang,M,Premium
CUST-0019,customer19@email.com,fikri alamsyah,083030106617,2023-08-05 06:06:00,surabaya,Perempuan,VIP
CUST-0020,customer20@email.com,Taufan Firmansyah,0897705310,01/11/2023, Jakarta,F,VIP
CUST-0021,customer21@email.com,dedi setiawan,+628250519597,2023-07-10,MAKASSAR,P,Regular
CUST-0022,customer22@email.com,WISNU FADILLAH,0882556484,13/12/2022,Medan,Perempuan,regular
CUST-0023,customer23@email.com,Arif Hidayat,0832097220,18/06/2023,malang,,regular
CUST-0024,customer24@email.com,Galih Firmansyah,0884593961,2023-11-09 04:12:00,Makassar,L,premium
CUST-0025,customer25@email.com,Fikar Wijaya,,2023-10-01 16:58:00,Denpasar,L,premium
CUST-0026,customer26@email.com,JOKO WIBOWO,,2023-04-05 03:56:00,Yogyakarta,M,premium
CUST-0027,customer27@email.com,RIAN HAKIM,0885863473,"Aug 30, 2023",Makassar,F,New
CUST-0028,customer28@email.com,Kevin Setiawan,088067372072,"Jul 28, 2023",Surabaya,Perempuan,premium
CUST-0029,customer29@email.com,HAFIZ PRATAMA,082139027119,02/06/2023,MEDAN,Laki-laki,Premium
CUST-0030,customer30@email.com,Wisnu Fadillah,0897775215,02/09/2023,DENPASAR,F,Regular
CUST-0031,customer31@email.com,HADI RAHMAN,083376077463,"Apr 24, 2023",Yogyakarta,F,VIP
CUST-0032,customer32@email.com,Yudi Rahman,081218179599,2023-10-26 08:02:00,jakarta,,Premium
CUST-0033,customer33@email.com,Dimas Wibowo,+628559225330,19/09/2023,Surabaya,F,Premium
CUST-0034,customer34@email.com,Fikar Wijaya,+628259014493,2023-07-14,jakarta,Laki-laki,Regular
CUST-0035,customer35@email.com,Nizar Hidayat,0857469942,2023-09-18 19:47:00,Bandung,,Premium
CUST-0036,customer36@email.com,,0854585178,2023-07-04,Makassar,,New
CUST-0037,customer37@email.com,Dedi Nugroho,0839854548,2023-03-18 11:19:00,Medan,L,New
CUST-0038,customer38@email.com,Tono Nugroho,0847463522,03-06-2023,MALANG,,premium
CUST-0039,customer39@email.com,MIFTAH SAPUTRA,0833966966,"Sep 29, 2023",Jakarta,M,regular
CUST-0040,customer40@email.com,Nizar Utomo,0825521714,21-06-2023,MEDAN,L,New
CUST-0041,customer41@email.com,Taufan Saputra,0836445607,2023-06-10 02:42:00,semarang,Laki-laki,New
CUST-0042,customer42@email.com,Farid Gunawan,0853779528,"Jun 30, 2023",Denpasar,P,regular
CUST-0043,customer43@email.com,Reza Wibowo,085296710795,2023-05-01,MALANG,M,New
CUST-0044,customer44@email.com,Kevin Ramadhan,0878608612,2023-08-05,SURABAYA,M,New
CUST-0045,customer45@email.com,KURNIA UTOMO,0841523529,"Nov 15, 2023",Medan,P,Regular
CUST-0046,customer46@email.com,Rian Setiawan,0819774839,2023-07-27 20:36:00,medan,F,regular
CUST-0047,customer47@email.com,bayu nugroho,0810744212,2023-01-29 07:11:00,DENPASAR,L,premium
CUST-0048,customer48@email.com,Bagas Pratama,0899600766,03-09-2023,YOGYAKARTA,,regular
CUST-0049,customer49@email.com,Kurnia Maulana,0869849511,2023-02-25 14:16:00,medan,Laki-laki,premium
CUST-0050,customer50@email.com,Bayu Setiawan,,2023-05-01,MAKASSAR,Laki-laki,premium
CUST-0006,customer6@email.com,Rafi Wibowo,083783290795,2023-10-13,Bandung,P,regular
CUST-0015,customer15@email.com,Bayu Kusuma,+628235034324,2023-02-09 17:10:00,MALANG,,premium
CUST-0010,customer10@email.com,fajar pratama,088217611860,07/10/2023,Medan,M,regular
CUST-0099,customer99@email,Rudi Ananta,0812345678,15/02/2024,Jakarta,L,Regular
,customer51@email.com,fikri hakim,,2024-01-20,bandung,L,
