order_id,product_id,product_name,kategori,quantity,total_harga,tanggal_order,kota,channel,status,customer_email
ORD-10122,P009,Kahf EDT Revered Oud,Fragrance,3,447000,"Jul 06, 2024",Denpasar,Website,cancelled,customer3@email.com
ORD-10107,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-07-12 09:31:00,solo,marketplace,pending,customer45@email.com
ORD-10128,P001,Kahf Oil & Acne Care Facial Wash,Face Care,1,32000,2024-05-19 16:47:00,Jakarta,website,pending,customer9@email.com
ORD-10001,P008,Kahf Hair Tonic,Hair Care,5,210000,2024-05-24 20:39:00,Bandung,marketplace,completed,customer13@email.com
ORD-10053,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,"Jul 08, 2024",Malang,marketplace,cancelled,customer22@email.com
ORD-10022,P007,Kahf Deodorant Roll On,Body Care,5,125000,06/07/2024,makassar,MARKETPLACE,pending,customer6@email.com
ORD-10019,P006,Kahf Hair & Body Wash,Body Care,1,38000,"Jul 09, 2024",jakarta,MOBILE_APP,cancelled,
ORD-10030,P008,Kahf Hair Tonic,Hair Care,1,42000,2024-05-10,MEDAN,mobile_app,cancelled,customer24@email.com
ORD-10038,P009,Kahf EDT Revered Oud,Fragrance,2,298000,15/05/2024,Yogyakarta,MARKETPLACE,shipped,customer35@email.com
ORD-10125,P007,Kahf Deodorant Roll On,Body Care,5,125000,10/05/2024,bandung,MOBILE_APP,cancelled,customer2@email.com
ORD-10055,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,3,195000,08/07/2024,malang,MOBILE_APP,cancelled,customer12@email.com
ORD-10012,P001,Kahf Oil & Acne Care Facial Wash,Face Care,3,96000,2024-07-01,Malang,MOBILE_APP,cancelled,customer38@email.com
ORD-10130,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,2,130000,29/06/2024,MEDAN,mobile_app,completed,customer27@email.com
ORD-10048,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,,2024-07-12 04:12:00,Bandung,website,cancelled,customer33@email.com
ORD-10069,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-05-28 13:47:00,MAKASSAR,website,completed,customer50@email.com
ORD-10031,P001,Kahf Oil & Acne Care Facial Wash,Face Care,5,160000,"May 29, 2024",Semarang,marketplace,cancelled,
ORD-10097,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,,22/06/2024,Semarang,Website,cancelled,customer28@email.com
ORD-10116,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,2,68000,2024-06-23,Semarang,marketplace,shipped,customer18@email.com
ORD-10015,P005,Kahf Aqua Matte Sunscreen SPF50,Face Care,1,65000,2024-05-30 17:41:00,Yogyakarta,mobile_app,cancelled,customer9@email.com
ORD-10129,P009,Kahf EDT Revered Oud,Fragrance,1,-149000,24/06/2024,jakarta,MOBILE_APP,cancelled,customer31@email.com
ORD-10102,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-05-16 23:08:00,medan,Website,shipped,customer30@email.com
ORD-10041,P010,Kahf EDT Humbling Forest,Fragrance,1,149000,03/05/2024,Medan,website,shipped,customer50@email.com
ORD-10046,P007,Kahf Deodorant Roll On,Body Care,1,25000,2024-07-30,MEDAN,MOBILE_APP,shipped,customer35@email.com
ORD-10005,P006,Kahf Hair & Body Wash,Body Care,2,76000,12/07/2024,Malang,mobile_app,pending,
ORD-10115,P006,Kahf Hair & Body Wash,Body Care,3,114000,2024-07-21,Denpasar,website,shipped,
ORD-10018,P006,Kahf Hair & Body Wash,Body Care,2,76000,21/07/2024,Solo,MOBILE_APP,completed,
ORD-10091,P009,Kahf EDT Revered Oud,Fragrance,5,745000,"Jun 10, 2024",Malang,Website,completed,customer20@email.com
ORD-10120,P009,Kahf EDT Revered Oud,Fragrance,2,298000,2024-06-06,Medan,mobile_app,shipped,customer11@email.com
