order_id,product_id,product_name,kategori,quantity,total_harga,tanggal_order,kota,channel,status,customer_email,harga_satuan
ORD-10122,P009,Kahf Edt Revered Oud,Fragrance,3,447000,2024-07-06,Denpasar,Website,Cancelled,customer3@email.com,149000
ORD-10107,P008,Kahf Hair Tonic,Hair Care,3,126000,2024-12-07,Solo,Marketplace,Pending,customer45@email.com,42000
ORD-10128,P001,Kahf Oil & Acne Care Facial Wash,Face Care,1,32000,2024-05-19,Jakarta,Website,Pending,customer9@email.com,32000
ORD-10001,P008,Kahf Hair Tonic,Hair Care,5,210000,2024-05-24,Bandung,Marketplace,Completed,customer13@email.com,42000
ORD-10053,P002,Kahf Skin Energizing & Brightening Face Wash,Face Care,1,34000,2024-07-08,Malang,Marketplace,Cancelled,customer22@email.com,34000
ORD-10022,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-07-06,Makassar,Marketplace,Pending,customer6@email.com,25000
ORD-10019,P006,Kahf Hair & Body Wash,Body Care,1,38000,2024-07-09,Jakarta,Mobile App,Cancelled,dummy123@gmail.com,38000
ORD-10030,P008,Kahf Hair Tonic,Hair Care,1,42000,2024-10-05,Medan,Mobile App,Cancelled,customer24@email.com,42000
ORD-10038,P009,Kahf Edt Revered Oud,Fragrance,2,298000,2024-05-15,Yogyakarta,Marketplace,Shipped,customer35@email.com,149000
ORD-10125,P007,Kahf Deodorant Roll On,Body Care,5,125000,2024-05-10,Bandung,Mobile App,Cancelled,customer2@email.com,25000
ORD-10055,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,3,195000,2024-07-08,Malang,Mobile App,Cancelled,customer12@email.com,65000
ORD-10012,P001,Kahf Oil & Acne Care Facial Wash,Face Care,3,96000,2024-01-07,Malang,Mobile App,Cancelled,customer38@email.com,32000
ORD-10130,P005,Kahf Aqua Matte Sunscreen Spf50,Face Care,2,130000,2024-06-29,Medan,Mobile App,Completed,customer27@email.com,65000
